l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Biscuit Gift Packs,151616.489,139260.364704,12356.124295999985,1704.0,0.08149591365356036,0.0151616489,0.0012356124295999985,0.0001704
Hand & Foot Care,182210.846,170401.349402,11809.496597999992,1628.0,0.0648122592987686,0.0182210846,0.0011809496597999993,0.0001628
Paan,47833.406,37278.820260000015,10554.585740000006,426.0,0.22065302521003846,0.0047833406,0.0010554585740000005,4.26e-05
Smoking Cessation,29987.888,23029.190370000004,6958.6976300000015,217.0,0.23205027409732895,0.0029987888,0.0006958697630000001,2.17e-05
Munchies Gift Packs,5874.0,4941.91991,932.0800899999999,10.0,0.15867893939393937,0.0005874,9.3208009e-05,1e-06
Exotic Meat,1432.0,1240.72,191.27999999999997,6.0,0.1335754189944134,0.0001432,1.9127999999999997e-05,6e-07
Bill Breaker,33.0,22.92,10.08,10.0,0.3054545454545455,3.3e-06,1.008e-06,1e-06
gift cards,357.0,550.5003,-193.5003,3.0,-0.5420176470588236,3.57e-05,-1.935003e-05,3e-07
Mother Care,205820.26899999997,207089.69411999988,-1269.4251199999999,416.0,-0.0061676390093533505,0.020582026899999998,-0.000126942512,4.16e-05
Free Store,226.0,11320.810348000005,-11094.810348000005,43818.0,-49.092081185840726,2.26e-05,-0.0011094810348000004,0.0043818
Supplements,786652.7860000001,801263.9729819997,-14611.186981999997,4272.0,-0.018573870508099867,0.07866527860000001,-0.0014611186981999997,0.0004272
Bath & Beauty Gifts,1312583.638,1379464.0265399998,-66880.38854000001,2703.0,-0.05095323955272404,0.1312583638,-0.006688038854000001,0.0002703
Deodorants & Powders,17716221.958999995,17845716.186447002,-129494.22744700006,104696.0,-0.007309359057855778,1.7716221958999996,-0.012949422744700005,0.0104696
Healthy & Digestive,18493111.964999996,18805647.089939997,-312535.12493999995,294195.0,-0.0169000828812102,1.8493111964999995,-0.031253512494,0.0294195
Repellents,32413175.457000002,32800357.437225003,-387181.98022499983,165954.0,-0.011945203602116787,3.2413175457000003,-0.03871819802249998,0.0165954
Body Moisturizers & More,8780124.136,9395774.873371003,-615650.737371,34449.0,-0.07011868258749639,0.8780124136,-0.0615650737371,0.0034449
Freebie,218.0,806340.1592279999,-806122.1592279999,59660.0,-3697.8080698532103,2.18e-05,-0.08061221592279999,0.005966
Liquid Detergents,37011485.280999996,38195977.96536599,-1184492.6843659997,120220.0,-0.032003381528005415,3.7011485280999996,-0.11844926843659996,0.012022
Shower Gels & Scrubs,13943719.079000004,15682198.544012997,-1738479.4650130004,75660.0,-0.12467831969099583,1.3943719079000003,-0.17384794650130003,0.007566
Diapers & Wipes,39216975.29599999,42001805.40359699,-2784830.1075970004,74537.0,-0.0710108336142141,3.921697529599999,-0.27848301075970006,0.0074537
Detergent Powder & Bars,114502633.308,118079470.12116194,-3576836.813162001,575965.0,-0.031238031037597952,11.4502633308,-0.3576836813162001,0.0575965
